name,description,internalPartNumber,category.name,storageLocation.name
RC0402JR-0710KL,"RES 10K 5% 1/16W SMD 0402 YAEGO",R000001,"SMD Chip Resistors",__UNSORTED
R-GEN-THT-C-22R-5,"RES 22R 5% 1/4W THT GENERIC",R000059,"THT Resistors",REG001_A1
R-GEN-THT-C-12R-5,"RES 12R 5% 1/4W THT GENERIC",R000060,"THT Resistors",REG001_A1
R-GEN-THT-C-2K2-5,"RES 2K2 5% 1/4W THT GENERIC",R000061,"THT Resistors",REG001_B1
R-GEN-THT-C-22K-5,"RES 22K 5% 1/4W THT GENERIC",R000062,"THT Resistors",REG001_B1
R-GEN-THT-C-120K-5,"RES 120K 5% 1/4W THT GENERIC",R000063,"THT Resistors",REG001_C1
R-GEN-THT-C-33R-5,"RES 33R 5% 1/4W THT GENERIC",R000064,"THT Resistors",REG001_C1
R-GEN-THT-C-47R-5,"RES 47R 5% 1/4W THT GENERIC",R000065,"THT Resistors",REG001_D1
R-GEN-THT-C-470R-5,"RES 470R 5% 1/4W THT GENERIC",R000066,"THT Resistors",REG001_D1
R-GEN-THT-C-330R-5,"RES 330R 5% 1/4W THT GENERIC",R000067,"THT Resistors",REG001_E1
R-GEN-THT-C-3K3-5,"RES 3K3 5% 1/4W THT GENERIC",R000068,"THT Resistors",REG001_E1
R-GEN-THT-C-4K7-5,"RES 4K7 5% 1/4W THT GENERIC",R000069,"THT Resistors",REG001_A2
R-GEN-THT-C-56R-5,"RES 56R 5% 1/4W THT GENERIC",R000070,"THT Resistors",REG001_A2
R-GEN-THT-C-68R-5,"RES 68R 5% 1/4W THT GENERIC",R000071,"THT Resistors",REG001_B2
R-GEN-THT-C-33K-5,"RES 33K 5% 1/4W THT GENERIC",R000072,"THT Resistors",REG001_B2
R-GEN-THT-C-330K-5,"RES 330K 5% 1/4W THT GENERIC",R000073,"THT Resistors",REG001_C2
R-GEN-THT-C-560R-5,"RES 560R 5% 1/4W THT GENERIC",R000074,"THT Resistors",REG001_C2
R-GEN-THT-C-680R-5,"RES 680R 5% 1/4W THT GENERIC",R000075,"THT Resistors",REG001_D2
R-GEN-THT-C-6K8-5,"RES 6K8 5% 1/4W THT GENERIC",R000076,"THT Resistors",REG001_D2
R-GEN-THT-C-560K-5,"RES 560K 5% 1/4W THT GENERIC",R000077,"THT Resistors",REG001_E2
R-GEN-THT-C-82K-5,"RES 82K 5% 1/4W THT GENERIC",R000078,"THT Resistors",REG001_E2
R-GEN-THT-C-100R-5,"RES 100R 5% 1/4W THT GENERIC",R000079,"THT Resistors",REG001_A3
R-GEN-THT-C-82R-5,"RES 82R 5% 1/4W THT GENERIC",R000080,"THT Resistors",REG001_A3
R-GEN-THT-C-75R-5,"RES 75R 5% 1/4W THT GENERIC",R000081,"THT Resistors",REG001_B3
R-GEN-THT-C-1K-5,"RES 1K 5% 1/4W THT GENERIC",R000082,"THT Resistors",REG001_B3
R-GEN-THT-C-8K2-5,"RES 8K2 5% 1/4W THT GENERIC",R000083,"THT Resistors",REG001_C3
R-GEN-THT-C-18R-5,"RES 18R 5% 1/4W THT GENERIC",R000084,"THT Resistors",REG001_C3
R-GEN-THT-C-180R-5,"RES 180R 5% 1/4W THT GENERIC",R000085,"THT Resistors",REG001_D3
R-GEN-THT-C-1M-5,"RES 1M 5% 1/4W THT GENERIC",R000086,"THT Resistors",REG001_D3
R-GEN-THT-C-820K-5,"RES 820K 5% 1/4W THT GENERIC",R000087,"THT Resistors",REG001_E3
R-GEN-THT-C-270K-5,"RES 270K 5% 1/4W THT GENERIC",R000088,"THT Resistors",REG001_E3
R-GEN-THT-C-27R-5,"RES 27R 5% 1/4W THT GENERIC",R000089,"THT Resistors",REG001_A4
R-GEN-THT-C-150K-5,"RES 150K 5% 1/4W THT GENERIC",R000090,"THT Resistors",REG001_A4
R-GEN-THT-C-510R-5,"RES 510R 5% 1/4W THT GENERIC",R000091,"THT Resistors",REG001_B4
R-GEN-THT-C-15K-5,"RES 15K 5% 1/4W THT GENERIC",R000092,"THT Resistors",REG001_B4
R-GEN-THT-C-10K-5,"RES 10K 5% 1/4W THT GENERIC",R000093,"THT Resistors",REG001_C4
R-GEN-THT-C-220R-5,"RES 220R 5% 1/4W THT GENERIC",R000094,"THT Resistors",REG001_C4
R-GEN-THT-C-120R-5,"RES 120R 5% 1/4W THT GENERIC",R000095,"THT Resistors",REG001_D4
RC0402FR-0710KL,"RES 10K 1% 1/16W SMD 0402 YAEGO",R000016,"SMD Chip Resistors",DWR001
KO-3528QRGBC/D,"LED RGB-CA SMD 3528",LED000001,LEDs,DWR001
CAT24C512WI-GT3,"IC EEPROM 512KBIT 8BIT WORD I2C 1MHZ SOIC-8",IC000050,Memories,DWR003_A
AP3402KTTR-G1,"IC REGULATOR BUCK 2A SYNC 1MHZ SOT-23-6",IC000059,"Switching Regulators",DWR003_A
MMBT2222ALT1G,"TRANSISTOR BJT NPN 40V 0.6A SOT-23-3",Q000006,BJTs,DWR003_A
RC0603FR-0713KL,"RES 13K 1% 1/10W SMD 0603 YAGEO",R000096,"SMD Chip Resistors",DWR003_A
